Transaction ID,Date,Currency,Sender,Receiver,Amount,Fee,Type
TX001,2023-05-01,Auric,John Goldsmith,Sarah Gilded,100 Auric,2 Auric,Purchase
TX002,2023-05-02,Electra,Olivia Current,Ethan Charge,500 Electra,10 Electra,Transfer
TX003,2023-05-03,Zentia,Ava Zenith,Leo Zenith,200 Zentia,5 Zentia,Payment
TX004,2023-05-05,Lumina,Luna Radiance,Sol Bright,50 Lumina,1 Lumina,Purchase
TX005,2023-05-06,Auric,Michael Goldsmith,Emma Gilded,75 Auric,2 Auric,Transfer
TX006,2023-05-08,Zentia,Mia Zenith,Noah Zenith,150 Zentia,3 Zentia,Payment
TX007,2023-05-09,Electra,Sophia Current,Jackson Charge,250 Electra,5 Electra,Purchase
TX008,2023-05-10,Lumina,Aurora Radiance,Nova Bright,30 Lumina,1 Lumina,Transfer
TX009,2023-05-12,Auric,William Goldsmith,Emily Gilded,80 Auric,2 Auric,Payment
TX010,2023-05-14,Zentia,Liam Zenith,Ava Zenith,100 Zentia,4 Zentia,Purchase
TX011,2023-02-14,Auric,Jeffrey Moore,John Williamson,501 Auric,9 Auric,Payment
TX012,2023-06-10,Auric,Greg Walker,Steven Key,341 Auric,25 Auric,Transfer
TX013,2023-05-05,Electra,Alan Johnson,Susan Hicks,30 Electra,45 Electra,Payment
TX014,2023-01-24,Lumina,Emily Brown,Seth Rivera,135 Lumina,43 Lumina,Payment
TX015,2023-01-31,Lumina,Linda Pacheco,Timothy Clay,800 Lumina,2 Lumina,Purchase
TX016,2023-06-05,Auric,Curtis Johnson,Deborah Kerr,108 Auric,22 Auric,Payment
TX017,2023-01-22,Auric,Thomas Beck,Chelsea Liu,994 Auric,46 Auric,Payment
TX018,2023-05-31,Lumina,Kevin Peters,Laura Phillips,632 Lumina,16 Lumina,Transfer
TX019,2023-04-09,Lumina,Linda Costa,Cassandra Cooke,572 Lumina,34 Lumina,Payment
TX020,2023-06-23,Auric,Donald Jackson,Adam Stanton,124 Auric,31 Auric,Transfer
TX021,2023-08-07,Auric,John Daniels,Elizabeth Rodriguez,335 Auric,9 Auric,Purchase
TX022,2023-02-05,Zentia,William Brooks,Maria Yang,676 Zentia,46 Zentia,Payment
TX023,2023-05-09,Auric,Kristin Ramirez,Robin Kelly,19 Auric,47 Auric,Transfer
TX024,2023-04-15,Auric,Alexis Watson,Alexandra Jordan,61 Auric,9 Auric,Purchase
TX025,2023-06-13,Zentia,Breanna Thompson,Robert Hines,720 Zentia,16 Zentia,Purchase
TX026,2023-03-14,Zentia,Lindsey Floyd,Brian Riley,239 Zentia,33 Zentia,Purchase
TX027,2023-03-15,Zentia,Jeanne Todd,Christine Herring,471 Zentia,44 Zentia,Payment
TX028,2023-08-08,Lumina,Julie Barnes,Peter Johnson,706 Lumina,17 Lumina,Payment
TX029,2023-05-31,Lumina,Robert Howell,Karen Miller,534 Lumina,31 Lumina,Purchase
TX030,2023-07-19,Auric,David Johnson,Christopher Escobar,939 Auric,5 Auric,Transfer
TX031,2023-08-19,Lumina,David Morris,Linda West,165 Lumina,27 Lumina,Purchase
TX032,2023-07-08,Electra,Jason Murphy,Jodi Ward,355 Electra,15 Electra,Transfer
TX033,2023-05-02,Zentia,Andrew Cummings,Jeffery Beck,843 Zentia,29 Zentia,Purchase
TX034,2023-01-30,Zentia,Anthony Wilkins,Ryan Haas,632 Zentia,34 Zentia,Transfer
TX035,2023-05-16,Lumina,Tyler Kirk,Craig Powell,667 Lumina,31 Lumina,Transfer
TX036,2023-01-27,Lumina,Madison Dean,Dean Wallace,92 Lumina,42 Lumina,Purchase
TX037,2023-07-29,Electra,Edward Bell,Michael Mitchell,181 Electra,47 Electra,Payment
TX038,2023-04-12,Auric,Derek Frank,Beverly Thomas,83 Auric,10 Auric,Payment
TX039,2023-02-02,Auric,Margaret Johnson,Michael King,335 Auric,20 Auric,Purchase
TX040,2023-01-01,Electra,Robert Oliver,Cynthia Shea,662 Electra,41 Electra,Purchase
TX041,2023-08-02,Zentia,Cory Nelson,Ashley Thomas,712 Zentia,30 Zentia,Transfer
TX042,2023-04-18,Electra,Hannah Munoz,Jessica Smith,526 Electra,19 Electra,Payment
TX043,2023-08-26,Zentia,Jennifer Weber,Holly Carter,652 Zentia,18 Zentia,Purchase
TX044,2023-08-25,Lumina,Nicholas Graves,Jonathan Martinez,191 Lumina,15 Lumina,Payment
TX045,2023-06-03,Zentia,Thomas Conway,Kimberly Woodward,368 Zentia,19 Zentia,Transfer
TX046,2023-02-11,Electra,Stacy Valdez,Brandon Herrera,6 Electra,44 Electra,Purchase
TX047,2023-08-20,Electra,Kim Johnson,Christine Robinson,682 Electra,5 Electra,Payment
TX048,2023-04-05,Zentia,Richard Martin,Kenneth Ali,649 Zentia,22 Zentia,Payment
TX049,2023-07-08,Auric,Kristina Johnson,Colton Mcdowell,883 Auric,21 Auric,Transfer
TX050,2023-03-22,Auric,Jackson Norman,Kristin Austin,42 Auric,41 Auric,Transfer
TX051,2023-01-06,Auric,Susan Heath,Bill Reyes,154 Auric,8 Auric,Purchase
TX052,2023-01-29,Lumina,Katie Brown,Savannah Barron,122 Lumina,46 Lumina,Payment
TX053,2023-05-09,Zentia,Margaret Robinson,Crystal Jordan,147 Zentia,36 Zentia,Payment
TX054,2023-05-25,Electra,James Howard,Jason Hall,539 Electra,25 Electra,Purchase
